Title,Active,Active,MIC,MICcalc,QPlogPo/w,DS5,GBSA5,CODE
2.7,TRUE,1,0.25,0,1.937,-7.074,-58.052,0
2.8,FALSE,0,2,0,1.745,-6.815,-64.792,0
3.1,FALSE,0,8,0,2.443,-7.045,-58.347,0
3.11,FALSE,0,8,0,1.138,-6.968,-61.829,0
3.12,FALSE,0,2,0,1.297,-7.654,-64.842,0
3.12,FALSE,0,2,0,1.285,-8.36,-61.507,0
3.13,FALSE,0,8,0,2.51,-6.87,-34.668,0
3.14,FALSE,0,4,0,1.922,-6.949,-55.015,0
3.15,TRUE,1,0.5,0,1.288,-6.758,-51.778,0
3.15,TRUE,1,0.5,0,1.279,-6.181,-48.297,0
3.16,FALSE,0,1.5,0,2.529,-6.846,-56.408,0
3.17,TRUE,1,1,0,1.755,-7.998,-55.961,0
3.18,TRUE,1,0.5,0,3.142,-6.9,-59.983,0
3.21,FALSE,0,4,0,3.502,-7.235,-65.367,0
3.22,FALSE,0,4,0,3.538,-7.342,-65.81,0
3.23,FALSE,0,8,0,2.429,-6.807,-55.743,0
3.24,FALSE,0,2,0,3.497,-6.832,-66.511,0
3.25,TRUE,1,0.25,0,3.654,-7.24,-69.785,0
3.26,TRUE,1,0.12,0,3.651,-6.888,-75.091,0
3.27,FALSE,0,8,0,1.76,-7.421,-53.288,0
3.28,FALSE,0,8,0,1.765,-7.396,-62.662,0
3.29,FALSE,0,2,0,3.045,-6.952,-61.995,0
3.3,FALSE,0,4,0,2.221,-6.526,-61.5,0
3.3,FALSE,0,4,0,2.261,-6.612,-58.804,0
3.31,FALSE,0,8,0,2.372,-6.732,-59.591,0
3.31,FALSE,0,8,0,2.381,-6.656,-56.605,0
3.32,TRUE,1,0.12,0,3.764,-6.811,-60.071,0
3.33,TRUE,1,0.25,0,3.934,-6.822,-58.98,0
3.34,TRUE,1,0.25,0,4.112,-7.006,-70.881,0
3.35,TRUE,1,1,0,4.126,-6.788,-68.383,0
3.36,FALSE,0,4,0,4.537,-7.082,-70.113,0
3.37,TRUE,1,1,0,4.55,-7.081,-68.485,0
3.38,TRUE,1,0.25,0,4.632,-6.915,-72.89,0
3.39,FALSE,0,2,0,3.079,-6.315,-60.782,0
3.39,FALSE,0,2,0,3.089,-6.285,-60.561,0
3.4,TRUE,1,0.25,0,1.937,-7.074,-58.052,0
3.4,FALSE,0,8,0,2.774,-6.752,-62.434,0
3.41,FALSE,0,8,0,2.783,-6.454,-64.431,0
3.42,FALSE,0,4,0,3.835,-7.249,-65.33,0
3.42,FALSE,0,4,0,3.83,-6.498,-63.639,0
3.43,FALSE,0,2,0,3.385,-7.726,-65.216,0
3.44,FALSE,0,8,0,4.165,-7.984,-70.584,0
3.45,TRUE,1,0.5,0,3.393,-6.67,-47.145,0
3.46,TRUE,1,0.25,0,3.761,-7.054,-42.934,0
3.47,TRUE,1,0.25,0,3.355,-6.826,-63.4,0
3.48,TRUE,1,0.13,0,3.678,-7.155,-64.716,0
3.49,TRUE,1,0.063,0,4.825,-7.368,-61.476,0
3.5,TRUE,1,0.063,0,4.889,-7.777,-60.699,0
3.51,TRUE,1,0.5,0,4.7,-7.206,-59.478,0
3.52,TRUE,1,0.25,0,5.069,-7.303,-58.659,0
3.52,TRUE,1,0.25,0,5.064,-7.382,-58.511,0
3.53,FALSE,0,4,0,5.069,-6.968,-67.09,0
3.53,FALSE,0,4,0,5.072,-6.156,-55.971,0
3.54,TRUE,1,0.125,0,4.466,-7.281,-60.865,0
3.55,TRUE,1,1,0,3.813,-7.119,-60.262,0
3.56,TRUE,1,0.5,0,4.589,-7.104,-54.964,0
3.57,TRUE,1,1,0,4.044,-7.818,-55.244,0
3.57,TRUE,1,1,0,4.052,-6.667,-49.199,0
3.58,TRUE,1,0.25,0,3.922,-7.542,-70.323,0
3.58,TRUE,1,0.25,0,3.896,-7.252,-67.841,0
3.59,FALSE,0,8,0,1.75,-7.917,-58.311,0
3.6,TRUE,1,0.25,0,2.457,-7.422,-71.51,0
3.6,FALSE,0,16,0,4.109,-7.274,-51.189,0
3.61,FALSE,0,16,0,4.094,-7.271,-59.376,0
3.62,FALSE,0,2,0,4.148,-7.371,-61.421,0
3.7,TRUE,1,0.5,0,2.099,-7.088,-56.894,0
3.8,TRUE,1,0.25,0,2.268,-7.18,-67.706,0
3.9,TRUE,1,1.5,0,2.144,-7.279,-63.037,0
4.35,TRUE,1,0.008,0,4.105,-6.489,-62.948,0
4.36,TRUE,1,0.031,0,3.7,-6.147,-60.025,0
4.37,TRUE,1,0.016,0,3.014,-6.852,-60.919,0
4.38,TRUE,1,0.03,0,4.515,-7.115,-56.393,0
4.39,TRUE,1,0.03,0,4.389,-6.873,-54.113,0
4.4,TRUE,1,0.06,0,3.955,-6.566,-60.782,0
4.41,TRUE,1,0.05,0,2.889,-6.641,-58.872,0
4.42,FALSE,0,4,0,2.234,-6.431,-54.02,0
4.43,TRUE,1,0.25,0,2.342,-6.561,-67.47,0
4.44,TRUE,1,0.125,0,3.852,-6.471,-58.653,0
4.45,TRUE,1,0.031,0,3.041,-5.678,-59.486,0
4.45,TRUE,1,0.031,0,3.059,-5.613,-58.168,0
4.46,TRUE,1,0.5,0,2.401,-6.481,-57.579,0
4.47,TRUE,1,0.25,0,3.499,-6.45,-57.864,0
4.48,TRUE,1,0.5,0,3.828,-6.277,-39.853,0
4.49,TRUE,1,0.063,0,3.265,-6.824,-68.435,0
4.5,FALSE,0,16,0,0.977,-8.02,-60.056,0
4.51,TRUE,1,0.063,0,2.773,-6.94,-60.153,0
4.52,FALSE,0,2,0,2.706,-6.457,-57.553,0
4.53,TRUE,1,0.25,0,4.064,-6.812,-61.553,0
4.54,TRUE,1,0.5,0,3.672,-7.035,-63.937,0
4.55,TRUE,1,1,0,2.765,-7.444,-65.068,0
4.56,TRUE,1,0.5,0,4.053,-6.789,-55.826,0
4.57,TRUE,1,0.031,0,4.053,-6.602,-59.798,0
4.58,TRUE,1,0.016,0,4.248,-7.007,-57.011,0
4.59,TRUE,1,0.063,0,4.693,-6.668,-61.22,0
4.6,TRUE,1,0.016,0,3.887,-6.467,-56.857,0
4.6,FALSE,0,8,0,3.744,-4.581,-37.997,0
4.61,FALSE,0,32,0,4.233,-5.954,-49.693,0
4.62,FALSE,0,8,0,4.934,-5.471,-36.792,0
4.63,TRUE,1,0.125,0,2.656,-7.081,-64.513,0
4.64,FALSE,0,16,0,4.47,-6.285,-45.262,0
4.65,FALSE,0,16,0,3.913,-6.178,-46.461,0
4.66,FALSE,0,8,0,3.986,-6.652,-56.456,0
4.67,TRUE,1,0.25,0,1.9,-6.49,-61.033,0
4.68,TRUE,1,0.5,0,4.183,-5.863,-57.377,0
4.69,FALSE,0,2,0,4.117,-6.559,-52.334,0
4.7,TRUE,1,0.125,0,3.866,-6.436,-53.275,0
4.71,FALSE,0,16,0,2.912,-6.357,-51.078,0
4.72,TRUE,1,0.125,0,4.061,-6.716,-56.416,0
4.73,TRUE,1,0.5,0,3.878,-6.68,-58.507,0
4.74,FALSE,0,4,0,4.258,-5.976,-61.218,0
