Title,MIC,QPlogPo/w,DS5,GBSA5
2.7,0.25,1.937,-7.074,-13.87476099
2.8,2,1.745,-6.815,-15.48565966
3.1,8,2.443,-7.045,-13.94526769
3.11,8,1.138,-6.968,-14.77748566
3.12,2,1.297,-7.654,-15.49760994
3.12,2,1.285,-8.36,-14.70052581
3.13,8,2.51,-6.87,-8.28585086
3.14,4,1.922,-6.949,-13.14890057
3.15,0.5,1.288,-6.758,-12.37523901
3.15,0.5,1.279,-6.181,-11.54326004
3.16,1.5,2.529,-6.846,-13.48183556
3.17,1,1.755,-7.998,-13.375
3.18,0.5,3.142,-6.9,-14.33628107
3.21,4,3.502,-7.235,-15.62308795
3.22,4,3.538,-7.342,-15.7289675
3.23,8,2.429,-6.807,-13.32289675
3.24,2,3.497,-6.832,-15.89651052
3.25,0.25,3.654,-7.24,-16.6790153
3.26,0.12,3.651,-6.888,-17.94717973
3.27,8,1.76,-7.421,-12.73613767
3.28,8,1.765,-7.396,-14.97657744
3.29,2,3.045,-6.952,-14.81716061
3.3,4,2.221,-6.526,-14.69885277
3.3,4,2.261,-6.612,-14.05449331
3.31,8,2.372,-6.732,-14.24259082
3.31,8,2.381,-6.656,-13.52891969
3.32,0.12,3.764,-6.811,-14.35731358
3.33,0.25,3.934,-6.822,-14.09655832
3.34,0.25,4.112,-7.006,-16.94096558
3.35,1,4.126,-6.788,-16.34392925
3.36,4,4.537,-7.082,-16.75740918
3.37,1,4.55,-7.081,-16.36830784
3.38,0.25,4.632,-6.915,-17.42112811
3.39,2,3.079,-6.315,-14.52724665
3.39,2,3.089,-6.285,-14.47442639
3.4,0.25,1.937,-7.074,-13.87476099
3.4,8,2.774,-6.752,-14.92208413
3.41,8,2.783,-6.454,-15.39937859
3.42,4,3.835,-7.249,-15.61424474
3.42,4,3.83,-6.498,-15.21008604
3.43,2,3.385,-7.726,-15.58699809
3.44,8,4.165,-7.984,-16.86998088
3.45,0.5,3.393,-6.67,-11.26792543
3.46,0.25,3.761,-7.054,-10.26147228
3.47,0.25,3.355,-6.826,-15.15296367
3.48,0.13,3.678,-7.155,-15.46749522
3.49,0.063,4.825,-7.368,-14.69311663
3.5,0.063,4.889,-7.777,-14.50740918
3.51,0.5,4.7,-7.206,-14.21558317
3.52,0.25,5.069,-7.303,-14.01983748
3.52,0.25,5.064,-7.382,-13.98446463
3.53,4,5.069,-6.968,-16.03489484
3.53,4,5.072,-6.156,-13.37739006
3.54,0.125,4.466,-7.281,-14.54708413
3.55,1,3.813,-7.119,-14.40296367
3.56,0.5,4.589,-7.104,-13.13671128
3.57,1,4.044,-7.818,-13.20363289
3.57,1,4.052,-6.667,-11.75884321
3.58,0.25,3.922,-7.542,-16.80760038
3.58,0.25,3.896,-7.252,-16.21438815
3.59,8,1.75,-7.917,-13.93666348
3.6,0.25,2.457,-7.422,-17.09130019
3.6,16,4.109,-7.274,-12.23446463
3.61,16,4.094,-7.271,-14.19120459
3.62,2,4.148,-7.371,-14.67997132
3.7,0.5,2.099,-7.088,-13.59799235
3.8,0.25,2.268,-7.18,-16.18212237
3.9,1.5,2.144,-7.279,-15.06620459
4.35,0.008,4.105,-6.489,-15.04493308
4.36,0.031,3.7,-6.147,-14.34631931
4.37,0.016,3.014,-6.852,-14.55999044
4.38,0.03,4.515,-7.115,-13.47825048
4.39,0.03,4.389,-6.873,-12.9333174
4.4,0.06,3.955,-6.566,-14.52724665
4.41,0.05,2.889,-6.641,-14.0707457
4.42,4,2.234,-6.431,-12.91108987
4.43,0.25,2.342,-6.561,-16.12571702
4.44,0.125,3.852,-6.471,-14.01840344
4.45,0.031,3.041,-5.678,-14.21749522
4.45,0.031,3.059,-5.613,-13.90248566
4.46,0.5,2.401,-6.481,-13.76171128
4.47,0.25,3.499,-6.45,-13.82982792
4.48,0.5,3.828,-6.277,-9.525095602
4.49,0.063,3.265,-6.824,-16.35635755
4.5,16,0.977,-8.02,-14.35372849
4.51,0.063,2.773,-6.94,-14.37691205
4.52,2,2.706,-6.457,-13.75549713
4.53,0.25,4.064,-6.812,-14.71152008
4.54,0.5,3.672,-7.035,-15.28130975
4.55,1,2.765,-7.444,-15.55162524
4.56,0.5,4.053,-6.789,-13.34273423
4.57,0.031,4.053,-6.602,-14.29206501
4.58,0.016,4.248,-7.007,-13.62595602
4.59,0.063,4.693,-6.668,-14.63193117
4.6,0.016,3.887,-6.467,-13.58914914
4.6,8,3.744,-4.581,-9.081500956
4.61,32,4.233,-5.954,-11.87691205
4.62,8,4.934,-5.471,-8.793499044
4.63,0.125,2.656,-7.081,-15.41897706
4.64,16,4.47,-6.285,-10.81787763
4.65,16,3.913,-6.178,-11.10444551
4.66,8,3.986,-6.652,-13.49330784
4.67,0.25,1.9,-6.49,-14.58723709
4.68,0.5,4.183,-5.863,-13.71343212
4.69,2,4.117,-6.559,-12.5081262
4.7,0.125,3.866,-6.436,-12.73303059
4.71,16,2.912,-6.357,-12.20793499
4.72,0.125,4.061,-6.716,-13.48374761
4.73,0.5,3.878,-6.68,-13.9835086
4.74,4,4.258,-5.976,-14.63145315
4.75,16,2.891,-6.387,-11.82863289
4.76,8,2.685,-6.804,-13.583413
4.77,16,0.97,-8.164,-15.31692161
4.78,1,2.944,-6.68,-15.85994264
4.79,1,2.477,-6.729,-15.44646272
4.8,8,4.75,-4.117,-14.97179732
4.81,1,4.038,-6.895,-15.15917782
4.82,2,4.265,-6.533,-14.12882409
4.83,64,4.287,-5.97,-10.3625717
4.84,32,3.401,-6.123,-12.81166348
4.85,64,3.803,-6.271,-13.54923518
4.86,16,3.549,-6.26,-13.5332218
4.87,16,3.671,-4.957,-11.8539675
6.1,1.06,4.464,-6.11,-14.55736138
6.11,2,4.724,-6.323,-15.28871893
6.12,8,5.118,-6.176,-14.01816444
6.13,0.25,4.652,-6.235,-15.76457935
6.14,0.5,4.35,-6.441,-14.41563098
6.16,0.25,4.745,-6.85,-13.67758126
6.18,2,4.469,-7.106,-14.17184512
6.19,0.13,4.332,-6.131,-15.48876673
6.19,0.13,4.277,-5.17,-14.00884321
6.2,16,4.643,-4.812,-13.51195029
6.21,0.02,3.697,-7.571,-14.7875239
6.23,0.03,3.116,-6.478,-14.66347992
6.24,16,3.058,-6.395,-14.8793021
6.25,0.03,2.766,-7.477,-15.46916826
6.5,0.02,4.22,-6.741,-16.14029637
6.6,0.02,4.053,-6.542,-13.26171128
6.7,4,3.995,-6.606,-14.37691205
6.8,0.06,4.109,-6.84,-15.68594646
6.9,0.5,4.234,-6.178,-12.37428298
AM8085,0.016,3.89,-6.467,-13.60348948
AM8191,0.02,2.952,-6.277,-15.23446463
AM8192,0.06,2.978,-6.425,-14.60133843
