Title,Active,Active,MIC,MICcalc,QPlogPo/w,DS5,GBSA5,DS7,GBSA7,DS13,DS14,GBSA14,MMGBSA dG Bind,CODE
2.7,TRUE,1,0.25,0,1.937,-7.074,-58.052,-7.161,-59.285,-11.432,-6.972,-49.79,-71.463,0
2.8,FALSE,0,2,0,1.745,-6.815,-64.792,-7.084,-66.757,-10.889,-6.685,-49.604,-61.481,0
3.1,FALSE,0,8,0,2.443,-7.045,-58.347,-7.255,-60.585,-10.739,-5.333,-37.41,-38.554,0
3.11,FALSE,0,8,0,1.138,-6.968,-61.829,-6.952,-63.49,-11.626,-6.876,-40.707,-70.364,0
3.12,FALSE,0,2,0,1.297,-7.654,-64.842,-8.753,-64.298,-10.56,-7.653,-46.931,-33.002,0
3.12,FALSE,0,2,0,1.285,-8.36,-61.507,-8.199,-60.597,-8.182,-8.478,-44.514,18.217,0
3.13,FALSE,0,8,0,2.51,-6.87,-34.668,-8.04,-26.031,-10.355,-6.087,-39.707,-67.051,0
3.14,FALSE,0,4,0,1.922,-6.949,-55.015,-7.398,-57.083,-11.201,-7.19,-48.86,-67.602,0
3.15,TRUE,1,0.5,0,1.288,-6.758,-51.778,-7.252,-56.203,-11.25,-7.011,-52.376,-71.57,0
3.15,TRUE,1,0.5,0,1.279,-6.181,-48.297,-8.046,-55.856,-8.713,-7.219,-51.936,-64.544,0
3.16,FALSE,0,1.5,0,2.529,-6.846,-56.408,-7.143,-60.992,-11.584,-6.489,-46.899,-69.775,0
3.17,TRUE,1,1,0,1.755,-7.998,-55.961,-8.048,-59.442,-9.728,-7.797,-51.738,-63.904,0
3.18,TRUE,1,0.5,0,3.142,-6.9,-59.983,-7.114,-59.84,-10.397,-6.673,-48.064,-63.71,0
3.21,FALSE,0,4,0,3.502,-7.235,-65.367,-7.274,-68.567,-10.685,-7.304,-50.645,-63.527,0
3.22,FALSE,0,4,0,3.538,-7.342,-65.81,-7.599,-67.371,-10.633,-7.291,-44.444,-55.812,0
3.23,FALSE,0,8,0,2.429,-6.807,-55.743,-6.472,-46.989,-10.125,-6.747,-45.129,-56.657,0
3.24,FALSE,0,2,0,3.497,-6.832,-66.511,-6.883,-68.932,-10.741,-6.77,-47.537,-58.042,0
3.25,TRUE,1,0.25,0,3.654,-7.24,-69.785,-7.434,-73.29,-10.481,-6.701,-51.112,-60.791,0
3.26,TRUE,1,0.12,0,3.651,-6.888,-75.091,-7.171,-76.548,-10.464,-6.919,-44.406,-59.15,0
3.27,FALSE,0,8,0,1.76,-7.421,-53.288,-7.194,-56.485,-9.655,-5.509,-42.961,-59.118,0
3.28,FALSE,0,8,0,1.765,-7.396,-62.662,-7.916,-63.95,-9.411,-5.935,-44.518,-50.229,0
3.29,FALSE,0,2,0,3.045,-6.952,-61.995,-7.057,-61.37,-10.423,-6.931,-55.765,-64.388,0
3.3,FALSE,0,4,0,2.221,-6.526,-61.5,-7.701,-61.326,-10.076,-6.313,-46.58,-64.45,0
3.3,FALSE,0,4,0,2.261,-6.612,-58.804,-6.932,-60.314,-7.915,-6.496,-43.268,-54.682,0
3.31,FALSE,0,8,0,2.372,-6.732,-59.591,-8.039,-59.506,-10.302,-6.518,-50.11,-64.659,0
3.31,FALSE,0,8,0,2.381,-6.656,-56.605,-7.101,-58.949,-7.9,-6.42,-45.936,-57.254,0
3.32,TRUE,1,0.12,0,3.764,-6.811,-60.071,-7.186,-61.96,-10.489,-6.85,-47.687,-64.557,0
3.33,TRUE,1,0.25,0,3.934,-6.822,-58.98,-7.099,-61.084,-10.66,-6.663,-43.127,-64.475,0
3.34,TRUE,1,0.25,0,4.112,-7.006,-70.881,-7.279,-73.45,-10.444,-6.672,-40.844,-63.185,0
3.35,TRUE,1,1,0,4.126,-6.788,-68.383,-6.733,-64.076,-10.682,-6.846,-46.674,-60.761,0
3.36,FALSE,0,4,0,4.537,-7.082,-70.113,-7.059,-52.703,-9.749,-7.032,-32.768,-55.934,0
